Time,AMR_Undiag,AMR_I_Res
890,155,71
891,160,72
892,160,72
893,158,72
894,154,73
895,156,73
896,152,74
897,148,73
898,148,73
899,149,74
900,148,75
901,147,75
902,144,77
903,142,77
904,141,78
905,141,79
906,141,79
907,143,79
908,142,80
909,142,82
910,144,82
911,152,84
912,157,84
913,158,85
914,152,85
915,151,85
916,150,85
917,152,85
918,156,85
919,157,85
920,159,85
921,159,86
922,161,86
923,162,87
924,164,88
925,168,89
926,165,89
927,162,89
928,159,89
929,160,91
930,159,92
931,158,92
932,162,93
933,161,94
934,164,95
935,166,95
936,169,96
937,167,96
938,166,97
939,165,98
940,167,98
941,166,98
942,170,98
943,169,98
944,175,98
945,173,98
946,171,98
947,168,98
948,172,99
949,170,99
950,169,100
951,170,100
952,167,100
953,172,99
954,174,99
955,174,99
956,172,99
957,173,99
958,167,99
959,161,99
960,162,100
961,163,100
962,163,100
963,162,100
964,165,101
965,159,101
966,156,101
967,154,101
968,154,102
969,155,102
970,154,102
971,160,102
972,158,102
973,157,103
974,152,104
975,153,105
976,150,106
977,154,106
978,157,108
979,164,109
980,159,109
981,162,110
982,168,111
983,165,112
984,161,112
985,157,113
986,153,113
987,150,113
988,147,115
989,146,115
990,148,115
991,147,115
992,145,115
993,141,114
994,143,115
995,138,116
996,138,116
997,142,117
998,138,119
999,141,119
1000,137,120
1001,137,120
1002,141,120
1003,141,121
1004,138,122
1005,139,123
1006,142,122
1007,142,122
1008,144,122
1009,143,122
1010,144,123
1011,144,123
1012,140,123
1013,138,124
1014,132,124
1015,131,125
1016,130,127
1017,132,127
1018,130,127
1019,131,127
1020,135,127
1021,137,127
1022,136,127
1023,133,127
1024,136,127
1025,134,127
1026,129,127
1027,130,127
1028,132,127
1029,135,127
1030,131,127
1031,124,127
1032,121,127
1033,118,128
1034,120,128
1035,125,131
1036,122,132
1037,120,132
1038,124,132
1039,125,132
1040,125,132
1041,121,132
1042,119,133
1043,116,133
1044,123,133
1045,121,133
1046,119,133
1047,121,133
1048,125,133
1049,123,134
1050,123,134
1051,123,134
1052,119,136
1053,119,136
1054,122,137
1055,125,138
1056,124,138
1057,128,138
1058,131,138
1059,126,139
1060,122,140
1061,127,140
1062,122,140
1063,119,141
1064,118,141
1065,120,142
1066,124,142
1067,118,142
1068,115,142
1069,112,143
1070,113,145
1071,120,145
1072,116,145
1073,115,145
1074,117,145
1075,117,146
1076,117,146
1077,121,147
1078,121,148
1079,124,147
1080,118,147
1081,118,147
1082,125,148
1083,123,148
1084,118,148
1085,124,148
1086,125,148
1087,128,148
1088,130,149
1089,128,151
1090,127,151
1091,129,151
1092,132,151
