Time,AMR_S,AMR_Undiag,AMR_I_NonRes,AMR_I_Res
458,172,139,370,30
459,173,137,368,32
460,174,132,368,32
461,173,138,368,32
462,177,141,368,32
463,176,147,367,33
464,174,148,366,34
465,171,143,366,34
466,171,145,365,35
467,167,145,365,35
468,168,146,365,35
469,166,150,364,36
470,164,154,364,36
471,163,150,364,36
472,162,146,364,36
473,173,139,364,36
474,170,147,364,36
475,172,149,364,36
476,174,149,363,37
477,177,146,363,37
478,170,151,363,37
479,173,150,363,37
480,171,150,363,37
481,170,152,363,37
482,171,155,363,37
483,173,151,363,37
484,172,153,363,37
485,172,154,364,36
486,170,153,364,36
487,165,154,364,36
488,166,157,363,37
489,167,153,363,37
490,166,158,362,38
491,161,159,362,38
492,163,161,362,38
493,166,159,362,38
494,166,158,362,38
495,168,152,361,39
496,168,154,361,39
497,164,157,361,39
498,166,151,361,39
499,166,156,360,40
500,166,151,360,40
